D_R,con1,edo,muni,loca,ageb,hr_ini1,min_ini1,hr_ter1,min_ter1,dura1,resul1,hr_ini2,min_ini2,hr_ter2,min_ter2,dura2,resul2,hr_ini3,min_ini3,hr_ter3,min_ter3,dura3,resul3,hr_ini4,min_ini4,hr_ter4,min_ter4,dura4,resul4,p1,p2,p3_1,p3_2,p3_3,p3_4,p3_5,p3_6,p3_7,p3_8,p3_9,p3_10,p4_1,p4_2,p4_3,p5_1,p5_2,p5_3,p5_4,p6_1,p6_2,p6_3,p6_4,p6_5,p6_6,p6_7,p7_1,p7_2,p7_3,p7_4,p7_5,p7_6,p7_7,p7_8,p7_9,p7_10,p8,p8_2,p9,p9_1,p9_2,p10_1,p10_2,p10_3,p10_4,p10_5,p10_6,p10_7,p10_8,p10_9,p10_10,p10_11,p10_12,p10_13,p10_14,p10_15,p11,p11a_1,p12,p12a_1,p13,p13a_1,p14,p15_1,p15_2,p15_3,p15_4,p15_5,p15_6,p15_7,p16,p16_1,p16_2,p16_3,p17,p18,p19_1,p19_2,p19_3,p20_1,p20_2,p20_3,p20_1a_1,p20_2a_1,p20_3a_1,p21,p21_1,p21_2,p21_3,p22,p23,p24,p25,p26_1,p26_2,p26_3,p26_4,p26_5,p26_6,p27,p27a_1,p28,p29,p29a,p30,p30aa_1,p31,p32_1,p32_2,p32_3,p33,p34,p35_1,p35_2,p35_3,p35_4,p36,p37,p38,p39,p40,p41,p41aa_1,p42,p43_1,p43_2,p43_3,p43_4,p43_5,p43_6,p44,p45,p46,p47,p48,p49_1,p49_2,p49_3,p49_4,p49_5,p50_1,p50_2,p50_3,p50_4,p50_5,p50_6,p50_7,p50_8,p51,p52,p53,p54,p55,p56_1,p56_2,p56_3,p56_4,p56_5,p57,p57a_1,p58,p59,p60_1,p60_2,p60_3,p60_4,p61,p62_1,p62_2,p62_3,p62_4,p62_5,p63_1,p63_2,p63_3,p63_4,p63_5,p64,p65,p66,p67_1,p67_2,p67_3,p67_4,p67_5,p68otra,p68,p68_1,p69a,p69b,p69ba,p70,p71,p71_1_1,p71_1_2,p71_1_3,p72,p73_1,p73_2,p73_3,p73_4,sd1,sd2,sd3,sd4,sd4a,sd5,sd6,sd7,sd8,sd9,sd10,sd11,sd12,sd13,sd14,sd15,sd16,obser,sexo,edad_1,escol,cond_act,est_civil,ing_ind,ing_fam,total2,Region,Estrato,Tam_loc,Pondi2,Pondi_v
 ,444,15,109,25,181-A,21,23,21,59,36,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,2,1,2,2,3,1,3,2,3,3,violencia,peligro,oportunidad,3,3,3,3,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,rio bravo,12,3,-1,-1,98,98,99,98,98,98,98,98,98,98,98,98,98,98,98,"calor, violencia",10,98,98,998,98,98,3,3,3,3,1,3,3,2,-1,-1,-1,2,3,1,2,7,98,-1,-1,98,-1,-1,2,-1,-1,-1,2,-1,-1,8,3,3,1,3,3,3,98,98,2,97,97,97,97,1,2,2,2,5,2,2,1,1,3,2,2,2,2,1,97,97,2,1,2,2,1,2,2,2,3,3,1,2,2,3,8,8,8,2,2,1,2,2,2,2,2,1,1,98,98,2,1,2,2,1,1,98,98,1,1,4,3,4,2,2,2,2,2,2,1,-1,-1,-1,-1,0,1,2,4,1,2,3,2,2,2,2,-1,15,TULTITLAN,TULTITLAN,1,2,-1,-1,-1,1,1,1,1,1,1,31,1,4,3,-1,2,5,1,5,3,3,3,3000,2,999999,99, ,1,3,3,1,1,3,999999,1,2,21,1,17326,7135
 ,445,30,47,1,007-A,15,25,16,2,37,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,3,3,2,3,2,2,3,2,2,4,desempleo,doctores,trabajo,1,1,1,1,1,3,2,3,3,2,3,1,1,1,1,1,1,1,1,1,1,adicción,7,3,-1,-1,8,6,8,6,8,9,6,9,6,7,6,9,6,7,9,98,98,secuestros,5,999,99,99,3,3,1,3,3,1,3,2,-1,-1,-1,3,3,1,2,7,18,38,40,1,2,2,2,-1,-1,-1,2,-1,-1,8,1,2,1,1,2,2,18,2,1,reciben las remesas de los mexicanos,11,97,97,3,2,2,1,2,2,1,1,1,1,2,1,3,1,1,falta de trabajo,1,9,2,5,5,3,5,5,2,3,2,3,2,1,1,1,1,1,2,2,2,2,2,2,2,2,3,8,98,98,2,1,1,1,1,1,16,6,1,1,8,8,8,8,1,2,1,1,1,1,-1,8,4,5,5,1,2,4,2,1,1,3,3,2,2,-1,30,TUXPAN,TUXPAN,2,2,-1,-1,-1,1,2,2,2,2,1,39,1,4,3,-1,2,5,1,7,2,2,3,2300,2,400,2, ,1,4,3,1,1,3,2,1,4,42,2,10291,14433
 ,446,7,34,1,010-4,20,3,20,39,36,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,3,2,3,3,3,4,2,3,3,inseguridad,dinero,frontera,2,2,3,2,3,3,3,3,3,3,3,1,1,1,3,1,3,1,1,1,3,persona en otro país,5,3,-1,-1,8,8,8,7,8,7,7,8,8,7,7,8,9,7,8,cruzar el rio,7,cruzar la frontera,1,999,99,99,3,3,3,3,3,3,3,2,-1,-1,-1,2,4,1,6,3,11,29,35,1,6,5,2,-1,-1,-1,2,-1,-1,2,1,3,1,1,3,3,11,1,1,97,97,el mal trato a los que se van de México,3,1,2,2,2,1,2,1,1,1,1,2,3,1,1,2,no se adaptan al trabajo,4,2,1,4,4,1,2,1,2,1,3,1,1,1,1,1,1,1,1,3,1,3,2,2,2,1,4,1,99,98,3,2,1,1,1,1,12,2,1,3,5,5,5,5,2,2,2,2,1,1,-1,-1,-1,0,5,2,2,2,1,1,2,1,3,2,2,-1,7,TUXTLA,TUXTLA,0,2,-1,-1,-1,3,2,2,2,2,2,21,1,4,3,-1,2,6,8,-1,-1,-1,-1,-1,-1,2000,1, ,2,2,3,2,6,-1,2,1,4,42,2,77011,29933
 ,447,7,34,1,010-4,19,50,20,26,36,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,1,1,1,2,2,3,2,2,pobreza,corrupción,marginados,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,mas trabajo,3,3,-1,-1,8,6,7,8,8,8,8,8,7,7,6,8,8,8,8,muros que impiden paso,1,paso de personas,7,18,7,99,1,2,1,1,2,2,1,1,11,7,2,1,1,2,4,7,16,-1,-1,3,-1,-1,2,-1,-1,-1,2,-1,-1,3,2,1,2,2,1,2,12,2,2,el trabajo,16,la discriminación,4,2,1,1,1,1,2,1,1,1,1,2,2,2,2,2,delincuencia,2,2,1,1,1,2,2,1,1,1,2,3,1,2,2,3,2,2,2,2,1,1,1,2,2,1,2,2,18,99,2,2,2,1,2,1,17,5,1,3,2,2,1,1,2,1,1,2,2,2,8,9,-1,-1,-1,3,2,2,1,1,2,2,1,2,2,-1,7,TUXTLA GUTIERREZ,TUXTLA GUTIERREZ,2,2,-1,-1,-1,5,1,1,1,1,2,30,1,4,3,-1,2,3,8,-1,-1,-1,-1,-1,-1,3000,1, ,2,3,3,2,2,-1,3,1,4,42,2,47622,29933
 ,448,19,31,1,078-3,15,40,16,5,25,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,3,4,3,4,3,4,3,3,2,1,viajero,muerte,desolación,2,3,2,1,2,3,2,1,2,3,2,2,2,2,1,2,2,2,2,2,2,desempleado,3,3,-1,-1,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,calor,10,frio,1,999,99,99,3,2,3,3,3,3,3,2,-1,-1,-1,1,2,1,3,5,23,31,25,4,5,5,2,-1,-1,-1,2,-1,-1,3,2,2,2,2,2,2,11,1,1,97,97,familias abandonadas,1,2,9,1,1,2,2,3,2,3,4,1,2,2,1,1,la pobreza,4,3,3,2,4,3,3,4,2,1,2,2,2,3,4,2,3,4,3,2,3,2,1,2,3,3,2,1,99,98,1,3,2,3,2,4,18,1,2,1,3,2,3,3,2,1,1,1,1,1,9,8,9,7,5,2,2,4,2,3,2,1,2,2,2,-1,7,TUXTLA GUTIERREZ,TUXTLA GUTIERREZ,1,2,-1,-1,-1,2,1,2,2,2,2,21,1,4,3,-1,2,6,1,2,4,3,2,3500,2,7000,1, ,2,2,3,1,6,3,5,1,3,31,1,21828,6524
 ,449,26,18,334,132-8,15,50,16,35,45,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,3,4,4,4,3,4,3,4,4,98, , ,2,2,2,2,1,1,1,3,3,3,1,1,1,2,1,1,1,1,1,1,1,inseguridad,2,3,-1,-1,10,7,7,7,7,8,5,5,5,5,5,5,5,5,5,sonyta,10,Guatemala,3,84,26,11,1,1,1,2,1,1,1,2,-1,-1,-1,1,3,1,4,5,15,14,-1,2,2,-1,2,-1,-1,-1,2,-1,-1,3,1,1,1,2,3,1,18,2,1,cuando mandan dinero,11,maltrato,4,1,2,2,2,6,2,1,2,1,1,3,1,2,2,2,fraude,2,2,1,2,2,2,2,2,2,1,2,3,1,4,3,3,3,3,1,2,2,3,3,3,3,3,4,2,98,11,3,1,2,2,2,2,15,5,1,2,2,2,2,2,2,2,2,1,1,1,-1,-1,6,5,1,1,2,3,1,1,2,2,3,2,2,-1,26,URESISON,URESISON,0,2,-1,-1,-1,3,2,2,2,2,2,27,1,4,3,-1,2,6,5,-1,-1,-1,-1,-1,-1,3500,1, ,2,3,3,2,6,-1,3,1,3,33,3,27811,13365
 ,450,9,5,1,215-0,20,0,20,34,34,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,7,2,2,2,2,2,2,2,2,2,2,trabajo,hogar, ,1,1,1,1,1,3,2,3,3,3,3,8,8,8,8,8,8,8,8,8,8,trabajo,3,3,-1,-1,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,trabajo,4,pobreza,9,998,98,98,2,2,2,2,1,1,2,2,-1,-1,-1,1,8,1,2,3,98,-1,-1,98,-1,-1,2,-1,-1,-1,2,-1,-1,3,2,2,2,3,3,3,27,5,1,97,97,97,97,1,2,2,1,1,2,1,1,1,1,2,1,4,4,1,97,97,2,2,3,2,1,3,4,2,3,2,2,1,1,2,1,2,2,3,3,3,3,3,3,3,3,2,2,21,11,2,8,8,8,8,8,21,5,1,4,2,2,2,2,1,1,1,1,1,1,2,6,7,2,2,2,2,1,2,2,1,2,3,2,2,-1,9,VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,2,2,-1,-1,-1,5,1,1,1,1,1,65,1,4,3,-1,2,5,9,-1,-1,-1,-1,-1,-1,3000,2, ,1,7,3,2,1,-1,3,1,2,21,1,157138,53459
 ,451,30,44,1,005-9,16,5,16,49,44,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,4,2,3,2,3,3,2,2,3,2,2,trabajo, , ,3,3,3,3,2,2,2,2,2,3,2,1,1,1,1,1,1,1,1,1,1,indocumentado,10,3,-1,-1,6,7,7,6,8,8,7,6,6,6,6,7,8,8,8,98,98,98,98,49,13,17,2,2,2,2,2,2,2,2,-1,-1,-1,2,2,3,4,6,13,17,-1,3,7,-1,2,-1,-1,-1,2,-1,-1,2,2,2,2,2,1,2,22,6,1,97,97,97,97,2,2,1,1,4,1,3,3,3,3,2,2,2,2,2,"delincuencia, secuestros",2,3,8,8,8,8,8,8,2,1,2,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,18,11,2,3,3,3,3,3,37,5,1,3,3,3,3,3,2,1,1,1,1,1,6,6,7,5,5,8,1,3,2,2,2,2,2,1,1,13,30,VERACRUZ,VERACRUZ,3,2,-1,-1,-1,1,2,2,1,1,1,30,1,4,3,-1,2,6,1,99,4,2,3,999999,99,999999,99, ,1,3,3,1,6,999999,999999,1,4,41,1,19090,6747
 ,452,7,34,1,010-4,19,58,20,37,39,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,2,2,2,2,2,2,2,4,2,desierto,agua,hombres,1,1,1,1,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,tren,13,3,-1,-1,8,5,10,5,5,10,5,5,5,5,5,8,10,5,8,migración,7,Brasil,6,26,23,12,1,1,1,1,1,1,1,2,-1,-1,-1,1,4,1,4,6,98,-1,-1,98,-1,-1,2,-1,-1,-1,2,-1,-1,1,3,3,3,3,3,3,13,4,1,los envíos de dólares,11,98,98,1,2,2,2,1,2,1,1,1,1,2,1,1,1,2,97,97,3,1,3,1,3,5,5,2,8,8,1,1,1,3,1,1,1,3,3,1,3,3,3,3,3,3,3,23,11,3,1,1,1,1,5,15,5,1,1,5,5,5,5,8,2,1,1,2,1,-1,98,98,-1,98,1,4,4,2,1,1,2,3,2,2,-1,7,VILLAFLORES,VILLAFLORES,0,2,-1,-1,-1,5,2,1,2,2,1,34,1,4,3,-1,2,5,1,6,1,2,6,1000,1,6000,2, ,1,3,3,1,1,2,4,1,4,42,2,32708,29933
 ,453,32,17,1,190-9,10,10,10,54,44,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10,1,2,3,3,3,2,2,3,3,4,98, , ,3,3,3,3,3,1,1,3,2,1,1,2,2,1,2,2,2,2,1,1,1,98,98,3,-1,-1,3,98,6,8,98,5,98,98,98,4,98,98,6,9,7,sueño americano,4,pobreza,9,17,30,99,2,1,3,3,1,1,3,2,-1,-1,-1,3,4,1,3,9,25,26,-1,5,4,-1,2,-1,-1,-1,2,-1,-1,1,2,1,1,1,1,2,18,2,1,económico,14,abandono de familias,1,1,9,2,2,6,2,1,1,1,1,2,3,2,1,1,delincuencia,2,4,4,3,1,4,1,2,2,1,3,1,2,1,3,1,8,8,1,2,1,1,1,1,1,1,2,2,13,28,3,3,1,1,1,2,15,5,1,1,4,8,8,5,1,2,2,8,8,1,-1,-1,-1,-1,3,2,3,4,1,1,2,2,3,2,2,-1,32,ZACATECAS,ZACATECAS,3,2,-1,-1,-1,4,2,1,2,2,1,54,1,4,3,-1,2,5,1,7,2,3,2,5300,3,7600,3, ,1,5,3,1,1,4,5,1,3,31,1,24635,10785
 ,454,16,108,1,076-8,21,2,21,22,20,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,3,3,2,2,2,2,3,3,cambio de residencia, , ,2,2,3,3,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,cruzar sin permiso,5,3,-1,-1,5,5,6,6,6,7,7,7,8,8,5,5,5,8,8,new york,3,Guatemala,3,18,7,22,2,1,1,2,2,1,1,2,-1,-1,-1,2,3,1,2,3,11,-1,-1,1,-1,-1,2,-1,-1,-1,2,-1,-1,2,3,2,2,3,2,2,13,4,2,97,97,97,97,2,1,1,1,2,1,1,1,1,1,1,2,2,1,1,97,97,2,3,2,2,2,2,2,2,1,1,1,1,2,2,3,2,2,2,2,3,2,2,2,3,2,2,2,99,99,1,3,3,2,3,3,98,98,1,1,3,3,3,3,2,2,2,1,2,1,-1,-1,7,-1,5,1,2,2,1,1,1,1,1,2,2,-1,16,ZAMORA,ZAMORA,1,2,-1,-1,-1,2,1,2,2,2,2,31,1,4,3,-1,2,5,8,-1,-1,-1,-1,-1,-1,999999,99, ,2,3,3,2,1,-1,999999,1,1,11,1,8433,5436
 ,455,16,108,1,076-8,19,3,19,25,22,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,2,2,2,2,2,2,1,1,2,2,ilegal, , ,2,2,2,2,1,3,2,3,3,3,3,1,1,1,1,1,1,1,1,1,1,extranjero,12,3,-1,-1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,Estados Unidos,3,quintana roo,2,11,16,14,1,1,1,2,2,1,1,2,-1,-1,-1,2,4,9,1,2,12,13,-1,2,3,-1,2,-1,-1,-1,2,-1,-1,2,2,1,1,3,1,2,18,2,1,97,97,que la gente no trabaje en el país,2,2,2,1,1,5,2,2,2,1,1,3,1,3,1,1,inseguridad,2,2,1,3,4,3,2,4,2,3,2,2,2,2,2,2,3,3,2,3,2,3,3,3,2,2,2,2,20,11,3,1,1,1,1,1,18,1,3,3,3,3,3,3,1,2,1,2,2,1,-1,7,-1,-1,7,1,1,2,1,1,1,1,2,2,2,-1,16,ZAMORA,ZAMORA,2,2,-1,-1,-1,3,1,2,2,2,2,29,1,4,3,-1,2,2,1,5,5,3,2,800,1,4000,2, ,2,3,3,1,2,2,3,1,1,11,1,8433,5436
 ,456,16,108,1,097-A,11,7,11,29,22,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,2,3,3,3,2,2,3,3,3,3,98, , ,2,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,1,1,1,99,99,3,-1,-1,9,9,9,9,9,8,8,8,9,9,9,8,8,8,9,"tráfico, violencia, inseguridad",5,tráfico,5,15,19,14,1,2,2,2,1,1,1,2,-1,-1,-1,2,2,1,2,3,99,-1,-1,99,-1,-1,2,-1,-1,-1,2,-1,-1,2,2,1,1,1,2,2,39,5,1,97,97,97,97,2,1,2,2,1,2,2,2,1,1,1,2,1,2,1,98,98,2,3,2,2,3,3,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,99,99,1,2,2,1,1,1,99,99,2,1,3,3,3,3,1,2,2,2,1,1,-1,-1,-1,5,5,2,2,1,1,2,2,1,1,2,2,-1,16,ZAMORA,ZAMORA,2,2,-1,-1,-1,3,2,2,2,2,1,39,1,4,3,-1,2,5,1,4,4,2,2,1300,1,7200,2,VERDE HERRERIA CAFE,1,4,3,1,1,2,5,1,1,11,1,6992,6361
 ,457,6,7,1,150-5,15,25,15,43,18,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,1,2,2,2,2,1,1,1,1,gente sin visa, , ,2,2,2,2,1,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,gente sin visa y pasaporte,10,3,-1,-1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Estados Unidos,3,los mayas,2,34,21,25,1,3,3,3,2,2,3,1,11,2,1,1,2,1,2,4,12,-1,-1,2,-1,-1,1,99,2,-1,1,1,1,4,3,3,3,3,3,3,25,7,1,97,97,97,97,1,2,2,1,6,2,2,1,1,1,2,1,3,4,2,97,97,1,1,2,5,5,5,5,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,98,11,3,1,1,1,1,3,15,5,1,1,5,5,5,5,2,9,1,1,1,1,-1,8,8,7,8,2,1,1,1,1,2,2,2,2,1,11,6,MANZANILLO,MANZANILLO,3,2,-1,-1,-1,4,2,1,2,2,1,50,1,4,3,-1,2,5,1,5,6,3,3,500,3,988888,98, ,1,5,3,1,1,2,988888,1,1,11,1,12924,14837
 ,458,16,53,1,111-1,11,17,12,38,0,0,11,17,11,38,21,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,4,4,4,4,4,4,3,2,4,4,98, , ,5,5,4,5,1,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,98,98,3,-1,-1,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,98,98,98,98,19,9,11,1,8,1,1,1,1,1,1,11,22,2,1,2,13,-1,-1,29,-1,-1,6,-1,-1,1,11,1,2,1,1,1,3,1,1,1,3,3,3,17,6,1,98,98,98,98,3,2,2,1,6,2,1,1,1,1,2,1,2,1,2,98,98,3,3,3,3,3,3,3,2,2,2,1,2,2,9,8,9,8,8,8,8,8,8,8,8,8,2,2,98,98,9,8,1,1,1,5,98,98,1,3,3,3,3,3,1,2,1,1,1,1,-1,98,98,98,98,9,8,8,1,1,1,3,3,2,2,-1,16,MICHOACAN MORELIA,MORELIA,2,1,12,-1,-1,5,1,2,2,2,1,41,1,4,3,-1,2,2,11,-1,-1,-1,-1,-1,-1,988888,1, ,1,4,3,2,2,-1,988888,1,1,11,1,37800,25961
 ,459,9,9,1,032-7,18,3,18,55,52,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,8,1,1,1,1,3,3,desempleo,logro,frontera,1,1,1,1,1,3,2,3,2,2,3,2,2,2,2,3,2,1,3,3,2,peligro,2,3,-1,-1,2,1,2,3,2,7,98,98,3,98,2,98,1,98,2,"Estados Unidos, frontera, peligro",3,98,98,998,98,98,1,2,1,1,1,1,1,1,11,3,9,2,4,1,2,8,12,-1,-1,2,-1,-1,1,11,1,2,1,1,1,8,1,2,2,1,2,2,13,4,1,que somos menos,16,98,98,2,2,1,1,4,2,1,1,1,1,1,1,2,1,1,"desempleo, competitividad",1,3,1,4,3,1,4,4,2,8,1,1,2,1,8,8,8,8,1,1,2,2,2,2,1,2,8,2,98,98,1,1,1,2,5,1,98,98,1,1,2,3,3,4,1,1,2,1,2,1,7,-1,5,-1,7,1,1,3,1,1,2,2,1,1,1,18,9,MILPA ALTA,MILPA ALTA,1,2,-1,-1,-1,3,1,1,1,1,2,25,1,4,3,-1,2,1,8,-1,-1,-1,-1,-1,-1,4000,2, ,2,3,3,2,1,-1,3,1,2,22,2,28193,12718
 ,460,11,17,1,014-8,16,11,16,53,42,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10,3,3,3,3,3,1,1,3,3,3,desempleo,necesidad,dinero,2,2,2,2,1,1,1,3,3,3,3,3,1,1,1,1,3,1,1,1,1,98,98,3,-1,-1,8,7,9,8,8,8,8,9,7,7,8,8,9,8,9,98,98,98,98,38,11,12,1,1,3,3,1,1,1,2,-1,-1,-1,1,1,1,11,4,16,12,-1,3,2,-1,1,99,2,-1,1,1,1,1,3,1,1,3,3,3,22,6,1,97,97,97,97,1,2,2,1,4,2,1,1,1,1,1,2,2,1,2,discriminación,3,2,5,5,5,2,5,5,2,2,2,1,2,1,1,1,1,3,1,1,1,1,1,3,1,1,1,3,23,28,1,1,1,1,1,4,47,6,1,5,5,5,5,5,3,2,1,1,2,1,-1,8,8,-1,8,2,2,4,1,1,1,3,3,2,2,-1,15,TOLUCA,TOLUCA,0,2,-1,-1,-1,4,9,9,9,9,1,16,1,4,3,-1,1,6,7,-1,-1,-1,-1,-1,-1,999999,99, ,1,2,3,2,6,-1,999999,1,1,11,1,61709,19210
 ,461,22,5,17,999-9,19,26,20,3,37,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,3,3,3,3,3,3,3,3,3,3,mas gente, , ,1,1,1,1,2,3,2,3,3,3,3,1,1,1,1,1,1,1,1,1,1,sin papeles,10,3,-1,-1,8,8,9,6,7,7,6,8,6,6,6,9,6,7,7,migración,7,migración,7,999,99,99,1,1,1,1,1,1,3,2,-1,-1,-1,2,4,3,1,2,98,-1,-1,98,-1,-1,1,11,2,-1,2,2,1,3,1,1,1,1,1,1,15,5,1,un trabajo,16,discriminación,4,1,2,2,2,6,2,1,1,1,1,2,1,3,4,2,"delincuencia, inseguridad",2,2,2,3,4,2,4,3,2,2,2,3,2,1,3,2,3,3,2,2,2,2,2,2,2,2,2,2,16,31,3,1,1,1,1,1,15,5,1,4,4,4,4,4,1,1,1,2,1,1,5,5,-1,5,5,3,1,4,2,1,1,2,1,2,2,-1,22,99,NC,2,2,-1,-1,-1,3,2,2,2,2,1,41,1,4,3,-1,2,5,1,2,2,3,3,999999,99,999999,99, ,1,4,3,1,1,999999,999999,1,1,14,4,57234,32983
 ,462,22,5,17,999-9,16,27,17,5,38,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,12,2,2,2,2,3,2,2,2,4,3,98, , ,1,1,1,1,1,3,1,3,3,3,3,1,1,1,1,1,1,1,1,1,1,98,98,3,-1,-1,3,5,5,5,5,5,5,8,5,5,5,5,5,5,5,Texas,3,98,98,999,99,11,1,1,1,1,1,1,1,2,-1,-1,-1,2,3,4,1,2,98,-1,-1,98,-1,-1,1,11,2,-1,2,2,2,2,1,1,1,1,1,1,11,1,1,buen salario/remesas,11,racismo,4,2,2,2,2,1,2,2,2,2,2,2,1,4,3,1,"desempleo, violencia",1,2,1,4,5,1,4,2,2,2,2,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,4,1,99,98,3,1,1,1,1,1,26,5,1,4,3,3,3,3,1,2,1,2,2,1,-1,5,-1,-1,4,2,1,4,3,1,1,1,1,2,2,-1,22,99,NC,3,2,-1,-1,-1,1,1,2,2,2,2,36,1,4,3,-1,2,5,8,-1,-1,-1,-1,-1,-1,4000,2, ,2,4,3,2,1,-1,3,1,1,14,4,106030,32983
 ,463,9,5,1,017-3,17,56,18,31,35,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,4,2,2,2,2,2,2,1,2,3,2,paisano,miserable,tren,3,3,3,2,2,3,3,3,3,1,3,1,1,1,3,1,3,2,2,2,3,clandestino,13,3,-1,-1,98,9,98,98,8,5,98,10,98,3,1,8,98,98,7,california,3,Chiapas,2,26,23,17,1,1,1,1,1,1,2,2,-1,-1,-1,1,3,1,4,5,16,30,-1,3,7,-1,2,-1,-1,-1,1,2,1,3,3,2,2,2,1,2,32,7,1,entrada de dinero,11,"se invierte en educación y servicios cuando esos mexicanos son niños, crecen y se van y su etapa pro",2,1,2,1,1,4,2,1,1,1,1,2,1,3,1,2,adaptarse a las costumbres,4,2,1,1,2,1,3,2,2,2,2,3,2,1,3,1,2,3,2,2,2,2,2,2,2,3,9,2,22,25,2,4,1,1,1,2,27,5,1,1,3,2,4,5,3,1,1,2,2,1,5,7,-1,-1,0,2,1,2,3,1,2,2,3,2,2,-1,99,99,NC,2,2,-1,-1,-1,4,1,2,2,2,2,41,1,4,3,-1,2,5,8,-1,-1,-1,-1,-1,-1,6000,2, ,2,4,3,2,1,-1,4,1,2,21,1,92027,59841
 ,464,15,30,1,007-8,14,38,15,25,47,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,6,3,3,4,4,3,2,4,3,4,3,bienestar,muerte,explotación,3,2,3,3,1,3,1,3,3,3,3,1,2,1,1,1,2,1,1,2,1,muerte,2,3,-1,-1,8,98,98,98,98,98,98,98,98,98,98,98,98,98,98,delincuencia,5,pobreza,9,17,30,12,1,1,1,1,1,1,3,2,-1,-1,-1,3,4,1,7,4,12,11,16,2,1,3,1,11,1,3,1,2,2,2,1,1,1,1,1,1,11,1,1,las divisas del extranjero,11,97,97,1,2,2,1,6,2,1,1,1,1,2,1,2,1,2,97,97,2,1,4,5,2,5,4,2,8,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,1,99,98,3,1,1,1,1,2,15,5,1,1,4,4,4,4,2,1,1,1,1,1,7,7,5,6,0,1,1,4,1,1,2,2,8,2,2,-1,15,ACOLMAN,ACOLMAN,2,2,-1,-1,-1,5,1,2,1,1,1,32,1,4,3,-1,2,1,1,7,2,3,2,1500,1,988888,2, ,1,3,3,1,1,2,988888,1,2,22,2,20394,8206
